,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
FNDC10,126,44,120,28,312,220,174,100,242,207,263,108,362,220,448,186
MIB2,1309,1023,1270,674,2164,6703,2699,3529,2016,4952,2675,2375,3089,4447,5393,3076
MMP23B,38,8,17,6,101,155,84,111,41,59,38,29,52,89,75,40
CDK11B,1891,974,917,925,3090,4442,1359,2907,3862,3767,1966,2990,4620,4755,4591,4372
SLC35E2B,1897,1764,2072,1435,2975,7883,3236,4589,3954,8793,4176,5666,4158,7872,7156,5509
CDK11A,1368,891,901,580,1466,3567,906,2332,2638,3974,1887,2753,1855,2487,2123,2031
SLC35E2A,288,349,463,234,368,1564,691,891,586,1972,723,1014,439,1067,1051,884
NADK,3564,1770,1610,4366,5080,4311,2064,7452,9496,5287,3865,13752,8207,5963,6864,21741
GNB1,15669,7144,8112,7580,23260,19933,8934,14045,36052,21366,14927,26132,32206,27057,31050,34310
GNB1-DT,2,0,0,0,4,11,2,10,30,22,10,26,9,3,15,7
CALML6,4,4,12,6,16,41,14,9,19,19,9,11,30,21,43,19
TMEM52,28,0,2,0,114,14,0,4,70,8,4,2,106,8,20,12
CFAP74,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,2
GABRD,2,7,12,14,5,0,6,0,2,4,10,2,0,0,2,0
PRKCZ-DT,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PRKCZ,832,582,461,379,1098,1538,558,969,1417,1599,982,1119,1620,1265,1225,923
PRKCZ-AS1,75,36,73,33,91,174,78,115,120,208,109,132,117,185,113,96
FAAP20,1299,599,623,453,2124,2717,997,1453,3160,2882,2473,2564,3060,2504,2629,1892
SKI,4629,2987,5255,2213,5697,8814,5126,5033,8404,11553,6695,6354,9222,13607,15728,10895
MORN1,158,122,91,81,212,439,166,316,335,423,281,222,320,422,379,287
